batch,index,music,hashtag,author,likes,comments,shares,saves
4,23,You know - Polyworph,"fyp, foryou, annewithane, narnia, bridgerton, periodramas, lanadelrey, romance, fyp%E3%82%B7%E3%82%9Aviral",mamaseditz_,2400000,8000,334500,18400
4,24,Washing Machine Heart - Mitski,"poppyplaytime, poppy, huggywuggy, catnap, viral, parati, mexico, espa%C3%B1ol, doblaje, tiktok, smilingcritters",disney100magico,80900,524,13200,276
4,25,sonido original - Jaime VM 🇪🇨,becoseisnice,593jm,94800,2154,9774,9061
4,26,original sound - mia,"fyp, foryou, phineasandferb, musicaltheatre, phineasandferbthemesong, feral, ferb",mrs.harrystyles69,254900,3587,10300,328
4,27,duvet - 🦇,"franciscoromero, franromero, tiktok, cast, fyp%E3%82%B7, viral, backstages",todxet,43400,146,8677,190
5,0,original sound - Pip_Peep_Williams,,kewchie_mane,124100,505,4906,2500
5,1,original sound - soupergremlin,"anime, romance, trending, manga, fyp, fruitbasket, aoharuride, lovelycomplex, maidsama, kiminitodoke, yonaofthedawn",an_x_ng,30000,743,4468,215
5,2,Roberto Carlos Amigo - Jose Parrales DJ.🎧,"viral, fippppppppppppppppp, graduacion, universidad, colegio",pedroanaya02,1000000,6471,85400,53700
5,3,youre losing me - c 💿,"taylorswift, yourelosingme",robertacorizzo,90900,317,5162,737
5,4,original sound - fr0sty_rick,"fyp, relatable, doubtjojo",doubt.jojo,11900,31,969,23
5,5,sonido original - urlove.dannn,"lanadelrey, lanitamividam, lanita, paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii, tiktok, tiktokponmeenparati, fyp%E3%82%B7, fyp%E3%82%B7%E3%82%9Aviral, fyp, cancionesparadedicar, lanalovers, @tiktok, tiktokviral",urlove.dannn,311500,767,49500,8666
5,6,sonido original - Miley Cyrus en tus venas ✨,"macmiller, divinefeminine, @motelrocks, motelrocks",noraanavarro,474600,1564,46900,3326
5,7,original sound - Goretti Solis,"erastour, buenosaireststheerastour, taylorswift, taylorswiftargentina, midnights, karma, karmataylorswift, taylorsversion, fyp, parati",jazzbecker,262200,3059,19000,8368
5,8,sonido original - Ney.n3y,taylorswift,ney.n3y,44500,397,3352,1641
5,9,original sound - Michaél myerhs,,kewchie_mane,193900,1134,5485,988
5,10,queen of disaster with sparkles - d6lliepnk,,vickys.xtokitadomix,1200000,18000,80000,7814
5,11,sonido original - deivis,,davidgetial,478200,664,29900,360
5,12,La vie en rose (Cover Edith Piaf) - 田东昱,@milkmakeup,tara_haki,3206,21,87,4
5,13,original sound - 𝑳𝒆𝒎𝒐𝒏𝒂𝒅𝒆 ★,"taylorswift, lanadelrey, switfies, honeymoon, parati, midnights, xyzbca",lupitasibaja_,342000,2516,18500,5225
5,14,sonido original - Aʙʀᴀʜᴀᴍ,"parati, fyp, memes",abrahamjrz,408500,1057,35400,5115
5,15,original sound - fr0sty_rick,,therealsensational,533,2,18,2
5,16,sonido original - OscarEstilla,"alexturneredit, alexturner, iwannabeyours, fyp%E3%82%B7ffyp%E3%82%B7tiktokviral, paratipage, articmonkeys",aguitadecoco0000,571100,3268,50200,13700
5,17,sonido original - JE_NuBo26,"paraty, cuandolosabeslosabes, porqueelkarmaesminovio, fyp%E3%82%B7%E3%82%9Aviral, lentejas%F0%9F%98%8E%F0%9F%91%8C, quieroestarenparati, xyzbca",ennubo_26,57100,280,5140,1222
5,18,sonido original - Los Florezzz,,losflorezzz,578600,769,39400,662
5,19,sonido original - Jashyler ♪,"ecuador%F0%9F%87%AA%F0%9F%87%A8, tiktok, optimusprime",addrianncito,60000,313,5242,5242
5,20,the man nightcore - dani (taylor’s version),"taylorswift, swiftie, theman, lover, fyp, fyp%E3%82%B7, foryoupage",missw1ft,46400,125,2656,990
5,21,original sound - beabadoobeelover6969,"gladi0nn, kanyewest, kanye, ye, yewest, kanyetok",gladi0nn,83700,396,8192,1079
5,22,exes - Tate McRae,"tatemcrae, arianagrande, taylorswift, dojacat, sabrinacarpenter, erastour, greedytatemcrae, popculture, hispanic, fyp",juanchireey,97100,349,5434,289
5,23,sonido original - Val 🩵,"capcut, fyp, parati, comedia, houseofthedragon, lacasadeldragon, got",soyperlacazares,18800,101,1635,757
5,24,sonido original - Ambar,"tengohambre, yoesa, humor, noseqsubir, megustamiabuela",bicicleta_trapo_,240600,1420,22400,6035
5,25,Cuando lo sabes lo sabes - ☆Edward☆,"@kaliuchis, kaliuchis, fyp, viral",ronax17,305000,2872,34800,4951
5,26,original sound - j,"booktok, bookish, booktropes",emgsbookshelf,236000,2664,30400,882
5,27,sonido original - Gabriela Lopéz,"capcut, platilla, morat, concierto2024",..holabrisaa,136400,416,14600,8426
